rank,name,repository_url,bucket,science_score,project_score,total_citations,category,sub_category,language,owner_login,owner_name,owner_kind,owner_company,owner_website,ecosystems,package_names,monthly_downloads,dependent_repos,dependent_packages,registry_maintainers,stars,archived,days_since_release,days_since_commit,days_since_push,total_committers,past_year_commits,past_year_committers,dds,past_year_dds,issue_maintainers_count,active_maintainers_count,active_maintainers,past_year_issues,past_year_prs,past_year_issues_closed,past_year_prs_merged,advisories,unpatched_advisories,signals,science_html_url
1506,Ecos,https://github.com/ecos-platform/ecos,active,95.0,7.798112628829787,0,Scientific Software,Peer-reviewed,C++,Ecos-platform,Ecos-platform,organization,,,pypi,ecospy,57,0,0,1,21,0,420,,113,2,27,1,0.026768642447418722,0.0,0,0,"",12,35,7,32,0,0,push:113d release:420d commits:27 active_maint:0 closed:39 merged:32,https://science.ecosyste.ms/projects/129
1507,CleanX,https://github.com/drcandacemakedamoore/cleanx,unknown,93.0,9.794788135612787,0,Scientific Software,Peer-reviewed,Jupyter Notebook,drcandacemakedamoore,"Candace Makeda Moore, MD",user,,cmhm.info,pypi,cleanx,113,1,0,1,25,0,1656,,1358,6,0,0,0.2753246753246753,0.0,3,0,"",0,0,0,0,0,0,push:1358d release:1656d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1448
1508,geocmeans,https://github.com/jeremygelb/geocmeans,dormant,93.0,9.790542793519993,0,Scientific Software,Peer-reviewed,R,,,,,,"go,cran","github.com/JeremyGelb/geocmeans,geocmeans,github.com/jeremygelb/geocmeans",318,0,0,1,29,0,1052,,102,2,1,1,0.16666666666666663,0.0,1,0,"",1,0,0,0,0,0,push:102d release:1052d commits:1 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/987
1509,Graph Transliterator,https://github.com/seanpue/graphtransliterator,active,95.0,7.788211557847076,0,Scientific Software,Peer-reviewed,Python,seanpue,A. Sean Pue,user,Michigan State University,https://seanpue.com,pypi,graphtransliterator,65,1,0,1,10,0,1018,,6,3,0,0,0.1333333333333333,0.0,1,0,"",0,0,0,0,0,0,push:6d release:1018d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2379
1510,EchemFEM,https://github.com/llnl/echemfem,dormant,98.0,4.787491742782046,0,Scientific Software,Peer-reviewed,Python,LLNL,Lawrence Livermore National Laboratory,organization,,https://software.llnl.gov,,,0,,,,30,0,,,197,5,11,2,0.09859154929577463,0.09090909090909094,2,0,"",0,0,0,0,0,0,push:197d commits:11 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/672
1511,kramersmoyal,https://github.com/lrydin/kramersmoyal,dead,93.0,9.784704016546161,0,Scientific Software,Peer-reviewed,Python,LRydin,Rydin,user,OsloMet,,pypi,kramersmoyal,46,1,0,1,77,0,1070,,147,5,0,0,0.20588235294117652,0.0,2,0,"",1,1,0,0,0,0,push:147d release:1070d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2352
1512,pyhector,https://github.com/openclimatedata/pyhector,dead,93.0,9.781997654948418,0,Scientific Software,Peer-reviewed,Python,openclimatedata,Open Climate Data,organization,,https://openclimatedata.net,"pypi,go","pyhector,github.com/openclimatedata/pyhector",48,1,0,3,45,0,2870,,876,2,0,0,0.2992125984251969,0.0,2,0,"",0,1,0,0,0,0,push:876d release:2870d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/3040
1513,MembraneAnalysis.jl,https://github.com/amiralih/membraneanalysis.jl,active,100.0,2.772588722239781,0,Scientific Software,Peer-reviewed,Julia,amiralih,Amirali,user,,,julia,MembraneAnalysis,0,0,0,0,3,0,1150,,24,4,0,0,0.3257575757575758,0.0,0,0,"",0,0,0,0,0,0,push:24d release:1150d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1071
1514,mrivis,https://github.com/raamana/mrivis,active,93.0,9.759905824058105,0,Scientific Software,Peer-reviewed,Python,raamana,Pradeep Reddy Raamana,user,University of Pittsburgh,crossinvalidation.com,pypi,mrivis,170,2,2,1,23,0,1220,,216,3,16,1,0.16287878787878785,0.0,1,0,"",0,0,0,0,0,0,push:216d release:1220d commits:16 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2750
1515,`hessQuik`,https://github.com/elizabethnewman/hessquik,unknown,95.0,7.731930721948486,0,Scientific Software,Peer-reviewed,Python,elizabethnewman,,user,Emory University,,pypi,hessquik,36,1,0,1,20,0,898,,897,3,0,0,0.01558441558441559,0.0,2,0,"",0,0,0,0,0,0,push:897d release:898d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1534
