purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:julia/Cliffords,Cliffords,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/bbn-q/cliffords.jl,pkg:julia/Cliffords,Cliffords,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/bbn-q/cliffords.jl
pkg:julia/VectorizedRoutines,VectorizedRoutines,julia,dead,,1,0,,,,,,10,,,,,0,https://github.com/chrisrackauckas/vectorizedroutines.jl,pkg:julia/VectorizedRoutines,VectorizedRoutines,julia,dead,,1,0,,,,,,10,,,,,0,https://github.com/chrisrackauckas/vectorizedroutines.jl
pkg:julia/FTPClient,FTPClient,julia,dead,,0,0,,,,,,10,,,,,0,https://github.com/invenia/ftpclient.jl,pkg:julia/FTPClient,FTPClient,julia,dead,,0,0,,,,,,10,,,,,0,https://github.com/invenia/ftpclient.jl
pkg:julia/PowerDynBase,PowerDynBase,julia,dead,,1,0,,,,,,10,,,,,0,https://github.com/juliaenergy/powerdynbase.jl,pkg:julia/PowerDynBase,PowerDynBase,julia,dead,,1,0,,,,,,10,,,,,0,https://github.com/juliaenergy/powerdynbase.jl
pkg:julia/CUDAnative,CUDAnative,julia,dead,,1,3,,,,,,10,,,,,0,https://github.com/juliagpu/cudanative.jl,pkg:julia/CUDAnative,CUDAnative,julia,dead,,1,3,,,,,,10,,,,,0,https://github.com/juliagpu/cudanative.jl
pkg:julia/AbstractPlotting,AbstractPlotting,julia,dead,,1,1,,,,,,10,,,,,0,https://github.com/juliaplots/abstractplotting.jl,pkg:julia/AbstractPlotting,AbstractPlotting,julia,dead,,1,1,,,,,,10,,,,,0,https://github.com/juliaplots/abstractplotting.jl
pkg:julia/RomanNumerals,RomanNumerals,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/anthonyclays/romannumerals.jl,pkg:julia/RomanNumerals,RomanNumerals,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/anthonyclays/romannumerals.jl
pkg:julia/FunctionalCollections,FunctionalCollections,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/juliacollections/functionalcollections.jl,pkg:julia/FunctionalCollections,FunctionalCollections,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/juliacollections/functionalcollections.jl
pkg:julia/Permutations,Permutations,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/scheinerman/permutations.jl,pkg:julia/Permutations,Permutations,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/scheinerman/permutations.jl
pkg:julia/OnlineStatsBase,OnlineStatsBase,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/joshday/onlinestatsbase.jl,pkg:julia/OnlineStatsBase,OnlineStatsBase,julia,dormant,,0,0,,,,,,10,,,,,0,https://github.com/joshday/onlinestatsbase.jl
pkg:julia/Cumulants,Cumulants,julia,unknown,,0,0,,,,,,10,,,,,0,https://github.com/iitis/cumulants.jl,pkg:julia/Cumulants,Cumulants,julia,unknown,,0,0,,,,,,10,,,,,0,https://github.com/iitis/cumulants.jl
pkg:julia/ReverseDiffSparse,ReverseDiffSparse,julia,unknown,,0,1,,,,,,10,,,,,0,https://github.com/mlubin/reversediffsparse.jl,pkg:julia/ReverseDiffSparse,ReverseDiffSparse,julia,unknown,,0,1,,,,,,10,,,,,0,https://github.com/mlubin/reversediffsparse.jl
pkg:julia/Trajectories,Trajectories,julia,unknown,,0,0,,,,,,10,,,,,0,https://github.com/mschauer/trajectories.jl,pkg:julia/Trajectories,Trajectories,julia,unknown,,0,0,,,,,,10,,,,,0,https://github.com/mschauer/trajectories.jl
pkg:julia/SoftGlobalScope,SoftGlobalScope,julia,unknown,,0,0,,,,,,10,,,,,0,https://github.com/stevengj/softglobalscope.jl,pkg:julia/SoftGlobalScope,SoftGlobalScope,julia,unknown,,0,0,,,,,,10,,,,,0,https://github.com/stevengj/softglobalscope.jl
